role,projection,dist_from_assistant,cos_to_axis
entrepreneur,-19.800249099731445,15.25610637664795,0.5453857779502869
mathematician,-20.142915725708008,15.598773002624512,0.3886498212814331
guardian,-20.34892463684082,15.804781913757324,0.6703693866729736
conservator,-20.441843032836914,15.897700309753418,0.4387671947479248
physicist,-20.762664794921875,16.21852207183838,0.4254913926124573
witness,-20.782075881958008,16.23793315887451,0.71103835105896
teenager,-20.837806701660156,16.29366397857666,0.3012407422065735
navigator,-21.05544090270996,16.511298179626465,0.6529524326324463
cartographer,-21.405109405517578,16.860966682434082,0.5219467878341675
adolescent,-21.727216720581055,17.18307399749756,0.31334200501441956
cosmopolitan,-22.113256454467773,17.569113731384277,0.7066971063613892
ecosystem,-22.115222930908203,17.571080207824707,0.5965059995651245
cyborg,-22.271821975708008,17.72767925262451,0.6464933156967163
newlywed,-22.281410217285156,17.73726749420166,0.4868658483028412
perfectionist,-22.353778839111328,17.809636116027832,0.6298964619636536
builder,-22.58766746520996,18.043524742126465,0.6876010894775391
mechanic,-23.041465759277344,18.497323036193848,0.568190336227417
veteran,-23.302597045898438,18.75845432281494,0.5879042148590088
writer,-23.354534149169922,18.810391426086426,0.8428939580917358
influencer,-23.658851623535156,19.11470890045166,0.5824873447418213
hybrid,-23.7804012298584,19.236258506774902,0.7314081192016602
blogger,-23.813688278198242,19.269545555114746,0.7106518745422363
minimalist,-23.824016571044922,19.279873847961426,0.5675494074821472
healer,-24.197723388671875,19.65358066558838,0.6021422743797302
retiree,-24.690261840820312,20.146119117736816,0.630949079990387
archaeologist,-25.028244018554688,20.48410129547119,0.5424036383628845
naturalist,-25.31117057800293,20.767027854919434,0.5951266288757324
chef,-25.37270736694336,20.828564643859863,0.6026265621185303
divorcee,-25.630998611450195,21.0868558883667,0.5590924024581909
collector,-25.654516220092773,21.110373497009277,0.7042069435119629
scout,-25.8559513092041,21.311808586120605,0.7492587566375732
immigrant,-26.28384780883789,21.739705085754395,0.6263490915298462
prodigy,-26.33755111694336,21.793408393859863,0.8530577421188354
podcaster,-26.67548179626465,22.131339073181152,0.7339770793914795
